Epoch 089 | loss 3.4317 | node 2.8649 | edge 0.1874 | kl 0.0891 | beta 0.0500
Epoch 090 | loss 3.4437 | node 2.8718 | edge 0.1892 | kl 0.0901 | beta 0.0500
Epoch 091 | loss 3.4386 | node 2.8745 | edge 0.1865 | kl 0.0936 | beta 0.0500
Epoch 092 | loss 3.4364 | node 2.8663 | edge 0.1885 | kl 0.0942 | beta 0.0500
Epoch 093 | loss 3.3800 | node 2.8203 | edge 0.1851 | kl 0.0888 | beta 0.0500
Epoch 094 | loss 3.4254 | node 2.8598 | edge 0.1870 | kl 0.0892 | beta 0.0500
Epoch 095 | loss 3.3927 | node 2.8315 | edge 0.1855 | kl 0.0920 | beta 0.0500
Epoch 096 | loss 3.3986 | node 2.8319 | edge 0.1874 | kl 0.0912 | beta 0.0500
Epoch 097 | loss 3.4094 | node 2.8495 | edge 0.1851 | kl 0.0904 | beta 0.0500
Epoch 098 | loss 3.4029 | node 2.8380 | edge 0.1868 | kl 0.0900 | beta 0.0500
Epoch 099 | loss 3.3646 | node 2.8093 | edge 0.1836 | kl 0.0895 | beta 0.0500
Epoch 100 | loss 3.3898 | node 2.8222 | edge 0.1877 | kl 0.0898 | beta 0.0500
Epoch 101 | loss 3.4006 | node 2.8415 | edge 0.1849 | kl 0.0899 | beta 0.0500
Epoch 102 | loss 3.3942 | node 2.8349 | edge 0.1849 | kl 0.0895 | beta 0.0500
Epoch 103 | loss 3.3380 | node 2.7832 | edge 0.1835 | kl 0.0890 | beta 0.0500
Epoch 104 | loss 3.3344 | node 2.7807 | edge 0.1831 | kl 0.0867 | beta 0.0500
Epoch 105 | loss 3.3694 | node 2.8096 | edge 0.1852 | kl 0.0856 | beta 0.0500
Epoch 106 | loss 3.3836 | node 2.8311 | edge 0.1827 | kl 0.0876 | beta 0.0500
Epoch 107 | loss 3.3659 | node 2.8197 | edge 0.1805 | kl 0.0899 | beta 0.0500
Epoch 108 | loss 3.3316 | node 2.7766 | edge 0.1836 | kl 0.0848 | beta 0.0500
Epoch 109 | loss 3.3457 | node 2.7969 | edge 0.1815 | kl 0.0879 | beta 0.0500
Epoch 110 | loss 3.3028 | node 2.7621 | edge 0.1788 | kl 0.0851 | beta 0.0500
Epoch 111 | loss 3.3281 | node 2.7760 | edge 0.1826 | kl 0.0828 | beta 0.0500
Epoch 112 | loss 3.3299 | node 2.7776 | edge 0.1827 | kl 0.0851 | beta 0.0500
Epoch 113 | loss 3.3324 | node 2.7821 | edge 0.1820 | kl 0.0866 | beta 0.0500
Epoch 114 | loss 3.3191 | node 2.7740 | edge 0.1804 | kl 0.0818 | beta 0.0500
Epoch 115 | loss 3.2943 | node 2.7493 | edge 0.1803 | kl 0.0825 | beta 0.0500
Epoch 116 | loss 3.2964 | node 2.7542 | edge 0.1794 | kl 0.0788 | beta 0.0500
Epoch 117 | loss 3.3235 | node 2.7756 | edge 0.1813 | kl 0.0811 | beta 0.0500
Epoch 118 | loss 3.3473 | node 2.7962 | edge 0.1823 | kl 0.0821 | beta 0.0500
Epoch 119 | loss 3.2643 | node 2.7291 | edge 0.1771 | kl 0.0804 | beta 0.0500
Epoch 120 | loss 3.2742 | node 2.7397 | edge 0.1768 | kl 0.0797 | beta 0.0500
Epoch 121 | loss 3.2772 | node 2.7313 | edge 0.1806 | kl 0.0809 | beta 0.0500
Epoch 122 | loss 3.2548 | node 2.7223 | edge 0.1761 | kl 0.0821 | beta 0.0500
Epoch 123 | loss 3.2534 | node 2.7135 | edge 0.1786 | kl 0.0820 | beta 0.0500
Epoch 124 | loss 3.2356 | node 2.7058 | edge 0.1753 | kl 0.0778 | beta 0.0500
Epoch 125 | loss 3.2433 | node 2.7147 | edge 0.1749 | kl 0.0795 | beta 0.0500
Epoch 126 | loss 3.2605 | node 2.7210 | edge 0.1785 | kl 0.0800 | beta 0.0500
Epoch 127 | loss 3.2284 | node 2.6987 | edge 0.1752 | kl 0.0815 | beta 0.0500
Epoch 128 | loss 3.2068 | node 2.6730 | edge 0.1766 | kl 0.0802 | beta 0.0500
Epoch 129 | loss 3.2466 | node 2.7089 | edge 0.1779 | kl 0.0806 | beta 0.0500
Epoch 130 | loss 3.1899 | node 2.6667 | edge 0.1731 | kl 0.0803 | beta 0.0500
Epoch 131 | loss 3.2675 | node 2.7286 | edge 0.1783 | kl 0.0813 | beta 0.0500
Epoch 132 | loss 3.2215 | node 2.6988 | edge 0.1729 | kl 0.0800 | beta 0.0500
Epoch 133 | loss 3.2212 | node 2.6952 | edge 0.1740 | kl 0.0801 | beta 0.0500
Epoch 134 | loss 3.2073 | node 2.6813 | edge 0.1740 | kl 0.0786 | beta 0.0500
Epoch 135 | loss 3.2060 | node 2.6849 | edge 0.1724 | kl 0.0807 | beta 0.0500
Epoch 136 | loss 3.2228 | node 2.6920 | edge 0.1756 | kl 0.0789 | beta 0.0500
Epoch 137 | loss 3.2015 | node 2.6761 | edge 0.1739 | kl 0.0767 | beta 0.0500
Epoch 138 | loss 3.2548 | node 2.7211 | edge 0.1765 | kl 0.0820 | beta 0.0500
Epoch 139 | loss 3.2324 | node 2.7005 | edge 0.1760 | kl 0.0806 | beta 0.0500
