system,split,parameter_name,parameter_value,default_threshold,precision,recall,f1,tp,fp,fn,tn,num_positive_edges,num_negative_edges,num_candidate_edges,graphs_evaluated,max_nodes,target_graphs,parent_temperature,weights_path,data_path
SN,normal,edge_threshold,0.37,0.6,0.75081032,0.99913734,0.85735436,5791,1922,5,67531,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.38,0.6,0.75305592,0.99913734,0.85881655,5791,1899,5,67554,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.39,0.6,0.75521648,0.99913734,0.86021985,5791,1877,5,67576,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.4,0.6,0.75709243,0.99913734,0.86143548,5791,1858,5,67595,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.41,0.6,0.75997375,0.99913734,0.86329756,5791,1829,5,67624,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.42,0.6,0.76187344,0.99913734,0.86452191,5791,1810,5,67643,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.43,0.6,0.76519556,0.99913734,0.86665669,5791,1777,5,67676,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.44,0.6,0.76712147,0.99913734,0.8678906,5791,1758,5,67695,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.45,0.6,0.76936362,0.99913734,0.86932373,5791,1736,5,67717,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.46,0.6,0.77120788,0.99913734,0.87049981,5791,1718,5,67735,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.47,0.6,0.77450849,0.99913734,0.87259851,5791,1686,5,67767,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.48,0.6,0.77710682,0.99913734,0.87424517,5791,1661,5,67792,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.49,0.6,0.77846485,0.99913734,0.87510389,5791,1648,5,67805,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.5,0.6,0.78161695,0.99913734,0.87709201,5791,1618,5,67835,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.51,0.6,0.78330854,0.99913734,0.87815604,5791,1602,5,67851,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.52,0.6,0.78532682,0.99913734,0.87942293,5791,1583,5,67870,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.53,0.6,0.78721958,0.9989648,0.8805414,5790,1565,6,67888,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.54,0.6,0.78955265,0.99879227,0.88193175,5789,1543,7,67910,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.55,0.6,0.79149576,0.99879227,0.88314264,5789,1525,7,67928,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.56,0.6,0.79410151,0.99879227,0.88476234,5789,1501,7,67952,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.57,0.6,0.79573883,0.99879227,0.88577768,5789,1486,7,67967,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.58,0.6,0.79826255,0.99879227,0.88733906,5789,1463,7,67990,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
