run_order,system,generator,real_percent_requested,synthetic_percent_requested,real_percent_actual,synth_percent_actual,mode_version,syn_normal_path,syn_abnormal_path,real_holdout_ratio,real_val_ratio,min_nodes_filter,max_synth_per_class,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,val_normal_real,val_abnormal_real,test_normal_real,test_abnormal_real,train_total_after_filter,val_total_after_filter,test_total_after_filter,test_normal_real_after_filter,test_abnormal_real_after_filter,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1,resource_summary_csv,resource_timeseries_csv,resource_return_code,resource_wall_seconds,resource_process_tree_cpu_seconds,resource_process_tree_avg_cpu_pct,resource_process_tree_peak_rss_mb,resource_process_tree_peak_vms_mb,resource_gpu_peak_mem_used_total_mb,resource_process_tree_gpu_peak_mem_mb,resource_gpu_peak_util_pct,resource_samples
24,SN,flat_vae,100,0.0,100.0,0.0,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_flat_vae_synthetic.pt,./datasets/baselines/SN_abnormal_flat_vae_synthetic.pt,0.2,,,,18307,0,13232,5075,0,0,200,200,,,3676,1410,,,,,,0.260708,0.852733,0.900152,0.852733,0.859685,0.993925,0.801143,0.887182,0.655676,0.987234,0.787999,,,,,,,,,,,,
25,TT,random_sampling,0,100.0,0.0,100.0,v5_tt_real_validation,./datasets/baselines/TT_normal_random_sampling.pt,./datasets/baselines/TT_abnormal_random_sampling.pt,0.2,0.1,3,,0,3770,0,0,3050,720,763,181,304,216,760,540,3770,944,1300,760,540,4.672187,0.586154,0.757686,0.586154,0.434851,0.585516,1.0,0.738581,1.0,0.003704,0.00738,,,,,,,,,,,,
26,SN,random_sampling,0,100.0,0.0,100.0,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_random_sampling.pt,./datasets/baselines/SN_abnormal_random_sampling.pt,0.2,,,,0,1600,0,0,800,800,200,200,,,3676,1410,,,,,,8.919942,0.277232,0.076857,0.277232,0.12035,0.0,0.0,0.0,0.277232,1.0,0.434113,,,,,,,,,,,,
27,TT,random_sampling,10,90.0,10.005,89.995,v5_tt_real_validation,./datasets/baselines/TT_normal_random_sampling.pt,./datasets/baselines/TT_abnormal_random_sampling.pt,0.2,0.1,3,,419,3769,245,174,3049,720,763,181,304,216,760,540,4188,520,1300,760,540,0.498151,0.726923,0.832572,0.726923,0.719417,0.99511,0.535526,0.696322,0.603816,0.996296,0.751922,,,,,,,,,,,,
28,SN,random_sampling,10,90.0,10.017,89.983,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_random_sampling.pt,./datasets/baselines/SN_abnormal_random_sampling.pt,0.2,,,,178,1599,129,49,800,799,200,200,,,3676,1410,,,,,,0.375616,0.828746,0.834728,0.828746,0.831087,0.896298,0.862894,0.879279,0.674208,0.739716,0.705445,,,,,,,,,,,,
29,TT,random_sampling,30,70.0,30.004,69.996,v5_tt_real_validation,./datasets/baselines/TT_normal_random_sampling.pt,./datasets/baselines/TT_abnormal_random_sampling.pt,0.2,0.1,3,,1616,3770,945,671,3050,720,763,181,304,216,760,540,5386,520,1300,760,540,0.498078,0.727692,0.835519,0.727692,0.719967,1.0,0.534211,0.696398,0.604027,1.0,0.753138,,,,,,,,,,,,
30,SN,random_sampling,30,70.0,30.009,69.991,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_random_sampling.pt,./datasets/baselines/SN_abnormal_random_sampling.pt,0.2,,,,686,1600,496,190,800,800,200,200,,,3676,1410,,,,,,0.281578,0.848014,0.861109,0.848014,0.851858,0.927289,0.85691,0.890711,0.688573,0.824823,0.750565,,,,,,,,,,,,
31,TT,random_sampling,50,50.0,50.0,50.0,v5_tt_real_validation,./datasets/baselines/TT_normal_random_sampling.pt,./datasets/baselines/TT_abnormal_random_sampling.pt,0.2,0.1,3,,3770,3770,2205,1565,3050,720,763,181,304,216,760,540,7540,520,1300,760,540,0.455463,0.727692,0.835519,0.727692,0.719967,1.0,0.534211,0.696398,0.604027,1.0,0.753138,,,,,,,,,,,,
32,SN,random_sampling,50,50.0,50.0,50.0,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_random_sampling.pt,./datasets/baselines/SN_abnormal_random_sampling.pt,0.2,,,,1600,1600,1156,444,800,800,200,200,,,3676,1410,,,,,,0.27226,0.859811,0.874849,0.859811,0.863755,0.941317,0.85963,0.898621,0.701562,0.860284,0.772858,,,,,,,,,,,,
33,TT,random_sampling,70,30.0,70.0,30.0,v5_tt_real_validation,./datasets/baselines/TT_normal_random_sampling.pt,./datasets/baselines/TT_abnormal_random_sampling.pt,0.2,0.1,3,,4676,2004,2735,1941,1621,383,763,181,304,216,760,540,6680,520,1300,760,540,0.445621,0.727692,0.835519,0.727692,0.719967,1.0,0.534211,0.696398,0.604027,1.0,0.753138,,,,,,,,,,,,
34,SN,random_sampling,70,30.0,69.998,30.002,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_random_sampling.pt,./datasets/baselines/SN_abnormal_random_sampling.pt,0.2,,,,3733,1600,2698,1035,800,800,200,200,,,3676,1410,,,,,,0.258,0.861581,0.87382,0.861581,0.865031,0.936802,0.866975,0.900537,0.70962,0.847518,0.772463,,,,,,,,,,,,
35,TT,random_sampling,100,0.0,100.0,0.0,v5_tt_real_validation,./datasets/baselines/TT_normal_random_sampling.pt,./datasets/baselines/TT_abnormal_random_sampling.pt,0.2,0.1,3,,4676,0,2735,1941,0,0,763,181,304,216,760,540,4676,520,1300,760,540,0.438571,0.727692,0.835519,0.727692,0.719967,1.0,0.534211,0.696398,0.604027,1.0,0.753138,,,,,,,,,,,,
36,SN,random_sampling,100,0.0,100.0,0.0,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_random_sampling.pt,./datasets/baselines/SN_abnormal_random_sampling.pt,0.2,,,,18307,0,13232,5075,0,0,200,200,,,3676,1410,,,,,,0.262415,0.85234,0.899377,0.85234,0.859293,0.992922,0.801415,0.886949,0.655498,0.985106,0.787192,,,,,,,,,,,,
