run_order,system,generator,real_percent_requested,synthetic_percent_requested,real_percent_actual,synth_percent_actual,mode_version,syn_normal_path,syn_abnormal_path,real_holdout_ratio,real_val_ratio,min_nodes_filter,max_synth_per_class,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,val_normal_real,val_abnormal_real,test_normal_real,test_abnormal_real,train_total_after_filter,val_total_after_filter,test_total_after_filter,test_normal_real_after_filter,test_abnormal_real_after_filter,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1,resource_summary_csv,resource_timeseries_csv,resource_return_code,resource_wall_seconds,resource_process_tree_cpu_seconds,resource_process_tree_avg_cpu_pct,resource_process_tree_peak_rss_mb,resource_process_tree_peak_vms_mb,resource_gpu_peak_mem_used_total_mb,resource_process_tree_gpu_peak_mem_mb,resource_gpu_peak_util_pct,resource_samples,seed,pr_auc,false_alarm_rate,tn,fp,fn,tp
6,SN,hierarchical_vae,30.0,70.0,29.997,70.003,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,3875,9043,1458,2417,3404,5639,851,1410,,,851,1410,,,,,,0.60651,0.673596,0.661436,0.673596,0.649788,0.611881,0.363102,0.455752,0.691344,0.860993,0.766898,,,,,,,,,,,,,44,0.802942,0.636898,309,542,196,1214
7,TT,hierarchical_vae,100.0,0.0,100.0,0.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,4675,0,2734,1941,0,0,0,0,304,216,760,540,4675,520,1300,760,540,0.607771,0.702308,0.713765,0.702308,0.680844,0.687437,0.9,0.779487,0.75082,0.424074,0.542012,,,,,,,,,,,,,44,0.640277,0.1,684,76,311,229
8,SN,hierarchical_vae,100.0,0.0,100.0,0.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,8138,0,3063,5075,0,0,0,0,,,851,1410,,,,,,0.58638,0.671384,0.660118,0.671384,0.659721,0.584112,0.440658,0.502344,0.705991,0.810638,0.754705,,,,,,,,,,,,,44,0.813929,0.559342,375,476,267,1143
1,TT,hierarchical_vae,0.0,100.0,0.0,100.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,0,5195,0,0,3038,2157,760,540,0,0,760,540,5195,1300,1300,760,540,0.941348,0.634615,0.634324,0.634615,0.634466,0.686763,0.689474,0.688116,0.560521,0.557407,0.55896,,,,,,,,,,,,,45,0.617327,0.310526,524,236,239,301
2,SN,hierarchical_vae,0.0,100.0,0.0,100.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,0,9043,0,0,3404,5639,851,1410,,,851,1410,,,,,,7.609696,0.623618,0.388899,0.623618,0.479053,0.0,0.0,0.0,0.623618,1.0,0.768183,,,,,,,,,,,,,45,0.628742,1.0,0,851,0,1410
3,TT,hierarchical_vae,10.0,90.0,9.997,90.003,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,577,5195,337,240,3038,2157,760,540,84,60,760,540,5772,1444,1300,760,540,0.706731,0.664615,0.661837,0.664615,0.662713,0.703518,0.736842,0.719794,0.603175,0.562963,0.582375,,,,,,,,,,,,,45,0.63672,0.263158,560,200,236,304
4,SN,hierarchical_vae,10.0,90.0,10.003,89.997,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,1005,9042,378,627,3404,5638,851,1410,,,851,1410,,,,,,0.610517,0.638213,0.63238,0.638213,0.634616,0.521236,0.475911,0.497543,0.699461,0.73617,0.717346,,,,,,,,,,,,,45,0.793756,0.524089,405,446,372,1038
5,TT,hierarchical_vae,30.0,70.0,29.996,70.004,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,2226,5195,1302,924,3038,2157,760,540,304,216,760,540,7421,1820,1300,760,540,0.631772,0.660769,0.658007,0.660769,0.658906,0.700629,0.732895,0.716399,0.59802,0.559259,0.57799,,,,,,,,,,,,,45,0.646951,0.267105,557,203,238,302
6,SN,hierarchical_vae,30.0,70.0,29.997,70.003,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,3875,9043,1458,2417,3404,5639,851,1410,,,851,1410,,,,,,0.581378,0.67448,0.664026,0.67448,0.66416,0.587253,0.454759,0.512583,0.710362,0.807092,0.755644,,,,,,,,,,,,,45,0.815736,0.545241,387,464,272,1138
7,TT,hierarchical_vae,100.0,0.0,100.0,0.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,4675,0,2734,1941,0,0,0,0,304,216,760,540,4675,520,1300,760,540,0.606687,0.706154,0.721997,0.706154,0.682969,0.6875,0.911842,0.783937,0.770548,0.416667,0.540865,,,,,,,,,,,,,45,0.650121,0.088158,693,67,315,225
8,SN,hierarchical_vae,100.0,0.0,100.0,0.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,8138,0,3063,5075,0,0,0,0,,,851,1410,,,,,,0.568167,0.682884,0.672295,0.682884,0.669681,0.608766,0.440658,0.511247,0.710638,0.829078,0.765303,,,,,,,,,,,,,45,0.824011,0.559342,375,476,241,1169
1,TT,hierarchical_vae,0.0,100.0,0.0,100.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,0,5195,0,0,3038,2157,760,540,0,0,760,540,5195,1300,1300,760,540,0.857803,0.653077,0.654751,0.653077,0.653803,0.707941,0.692105,0.699933,0.579892,0.598148,0.588879,,,,,,,,,,,,,46,0.615207,0.307895,526,234,217,323
2,SN,hierarchical_vae,0.0,100.0,0.0,100.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,0,9043,0,0,3404,5639,851,1410,,,851,1410,,,,,,8.001873,0.623618,0.388899,0.623618,0.479053,0.0,0.0,0.0,0.623618,1.0,0.768183,,,,,,,,,,,,,46,0.629201,1.0,0,851,0,1410
3,TT,hierarchical_vae,10.0,90.0,9.997,90.003,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,577,5195,337,240,3038,2157,760,540,84,60,760,540,5772,1444,1300,760,540,0.739444,0.643846,0.647558,0.643846,0.645239,0.704828,0.672368,0.688215,0.566957,0.603704,0.584753,,,,,,,,,,,,,46,0.621672,0.327632,511,249,214,326
4,SN,hierarchical_vae,10.0,90.0,10.003,89.997,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,1005,9042,378,627,3404,5638,851,1410,,,851,1410,,,,,,0.603518,0.628483,0.622275,0.628483,0.624675,0.507097,0.46181,0.483395,0.69179,0.729078,0.709945,,,,,,,,,,,,,46,0.796205,0.53819,393,458,382,1028
5,TT,hierarchical_vae,30.0,70.0,29.996,70.004,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,2226,5195,1302,924,3038,2157,760,540,304,216,760,540,7421,1820,1300,760,540,0.637316,0.669231,0.664651,0.669231,0.657177,0.680921,0.817105,0.742823,0.641753,0.461111,0.536638,,,,,,,,,,,,,46,0.633617,0.182895,621,139,291,249
6,SN,hierarchical_vae,30.0,70.0,29.997,70.003,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,3875,9043,1458,2417,3404,5639,851,1410,,,851,1410,,,,,,0.588283,0.669615,0.65638,0.669615,0.647086,0.6,0.366627,0.455142,0.690408,0.852482,0.762932,,,,,,,,,,,,,46,0.810281,0.633373,312,539,208,1202
7,TT,hierarchical_vae,100.0,0.0,100.0,0.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,4675,0,2734,1941,0,0,0,0,304,216,760,540,4675,520,1300,760,540,0.620067,0.688462,0.69436,0.688462,0.667554,0.680203,0.881579,0.767908,0.714286,0.416667,0.526316,,,,,,,,,,,,,46,0.621799,0.118421,670,90,315,225
8,SN,hierarchical_vae,100.0,0.0,100.0,0.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,8138,0,3063,5075,0,0,0,0,,,851,1410,,,,,,0.57217,0.674038,0.661893,0.674038,0.657982,0.59727,0.411281,0.487126,0.700896,0.832624,0.761102,,,,,,,,,,,,,46,0.820402,0.588719,350,501,236,1174
