=== TRAINING TT DATA ===
Epoch 115 | loss 0.2579 | node 0.2237 | edge 0.0322 | kl 0.1010 | beta 0.0200
Epoch 116 | loss 0.2919 | node 0.2545 | edge 0.0352 | kl 0.1123 | beta 0.0200
Epoch 117 | loss 0.2682 | node 0.2273 | edge 0.0383 | kl 0.1282 | beta 0.0200
Epoch 118 | loss 0.3023 | node 0.2672 | edge 0.0319 | kl 0.1573 | beta 0.0200
Epoch 119 | loss 0.2754 | node 0.2404 | edge 0.0321 | kl 0.1470 | beta 0.0200
Epoch 120 | loss 0.2924 | node 0.2563 | edge 0.0331 | kl 0.1466 | beta 0.0200
Epoch 121 | loss 0.2631 | node 0.2288 | edge 0.0316 | kl 0.1350 | beta 0.0200
Epoch 122 | loss 0.2636 | node 0.2296 | edge 0.0318 | kl 0.1100 | beta 0.0200
Epoch 123 | loss 0.2574 | node 0.2255 | edge 0.0296 | kl 0.1146 | beta 0.0200
Epoch 124 | loss 0.3112 | node 0.2733 | edge 0.0347 | kl 0.1577 | beta 0.0200
Epoch 125 | loss 0.2820 | node 0.2396 | edge 0.0395 | kl 0.1470 | beta 0.0200
Epoch 126 | loss 0.2448 | node 0.2146 | edge 0.0276 | kl 0.1297 | beta 0.0200
Epoch 127 | loss 0.3016 | node 0.2654 | edge 0.0335 | kl 0.1381 | beta 0.0200
Epoch 128 | loss 0.2616 | node 0.2290 | edge 0.0304 | kl 0.1093 | beta 0.0200
Epoch 129 | loss 0.2862 | node 0.2550 | edge 0.0284 | kl 0.1401 | beta 0.0200
Epoch 130 | loss 0.2993 | node 0.2647 | edge 0.0320 | kl 0.1300 | beta 0.0200
Epoch 131 | loss 0.2418 | node 0.2096 | edge 0.0300 | kl 0.1084 | beta 0.0200
Epoch 132 | loss 0.2641 | node 0.2304 | edge 0.0315 | kl 0.1051 | beta 0.0200
Epoch 133 | loss 0.2683 | node 0.2326 | edge 0.0336 | kl 0.1061 | beta 0.0200
Epoch 134 | loss 0.2693 | node 0.2368 | edge 0.0306 | kl 0.0945 | beta 0.0200
Epoch 135 | loss 0.2337 | node 0.1989 | edge 0.0332 | kl 0.0848 | beta 0.0200
Epoch 136 | loss 0.2644 | node 0.2317 | edge 0.0307 | kl 0.1055 | beta 0.0200
Epoch 137 | loss 0.2552 | node 0.2209 | edge 0.0314 | kl 0.1490 | beta 0.0200
Epoch 138 | loss 0.2324 | node 0.1995 | edge 0.0306 | kl 0.1147 | beta 0.0200
Epoch 139 | loss 0.2285 | node 0.1947 | edge 0.0319 | kl 0.0909 | beta 0.0200
Epoch 140 | loss 0.2503 | node 0.2145 | edge 0.0337 | kl 0.1048 | beta 0.0200
