---------------- TT Dataset --------------------------------------------------
Epoch 091 | loss 0.2634 | node 0.2257 | edge 0.0349 | kl 0.1397 | beta 0.0200
Epoch 092 | loss 0.2942 | node 0.2549 | edge 0.0359 | kl 0.1662 | beta 0.0200
Epoch 093 | loss 0.2749 | node 0.2389 | edge 0.0331 | kl 0.1450 | beta 0.0200
Epoch 094 | loss 0.3290 | node 0.2896 | edge 0.0360 | kl 0.1686 | beta 0.0200
Epoch 095 | loss 0.2747 | node 0.2350 | edge 0.0372 | kl 0.1252 | beta 0.0200
Epoch 096 | loss 0.2460 | node 0.2091 | edge 0.0344 | kl 0.1273 | beta 0.0200
Epoch 097 | loss 0.2881 | node 0.2511 | edge 0.0350 | kl 0.1037 | beta 0.0200
Epoch 098 | loss 0.2897 | node 0.2533 | edge 0.0334 | kl 0.1484 | beta 0.0200
Epoch 099 | loss 0.2813 | node 0.2499 | edge 0.0291 | kl 0.1134 | beta 0.0200
Epoch 100 | loss 0.3260 | node 0.2901 | edge 0.0331 | kl 0.1357 | beta 0.0200
Epoch 101 | loss 0.3352 | node 0.2993 | edge 0.0332 | kl 0.1317 | beta 0.0200
Epoch 102 | loss 0.2961 | node 0.2594 | edge 0.0342 | kl 0.1232 | beta 0.0200
Epoch 103 | loss 0.3343 | node 0.3004 | edge 0.0308 | kl 0.1548 | beta 0.0200
Epoch 104 | loss 0.3191 | node 0.2854 | edge 0.0308 | kl 0.1477 | beta 0.0200
Epoch 105 | loss 0.2752 | node 0.2342 | edge 0.0383 | kl 0.1349 | beta 0.0200
Epoch 106 | loss 0.2742 | node 0.2371 | edge 0.0349 | kl 0.1096 | beta 0.0200
Epoch 107 | loss 0.2674 | node 0.2364 | edge 0.0287 | kl 0.1135 | beta 0.0200
Epoch 108 | loss 0.3408 | node 0.3000 | edge 0.0369 | kl 0.1949 | beta 0.0200
Epoch 109 | loss 0.3254 | node 0.2877 | edge 0.0348 | kl 0.1415 | beta 0.0200
Epoch 110 | loss 0.2442 | node 0.2132 | edge 0.0286 | kl 0.1159 | beta 0.0200
Epoch 111 | loss 0.2650 | node 0.2304 | edge 0.0326 | kl 0.1031 | beta 0.0200
Epoch 112 | loss 0.2953 | node 0.2644 | edge 0.0284 | kl 0.1218 | beta 0.0200
Epoch 113 | loss 0.2625 | node 0.2267 | edge 0.0327 | kl 0.1514 | beta 0.0200
Epoch 114 | loss 0.3018 | node 0.2693 | edge 0.0302 | kl 0.1166 | beta 0.0200
Epoch 115 | loss 0.2651 | node 0.2309 | edge 0.0316 | kl 0.1360 | beta 0.0200
Epoch 116 | loss 0.3118 | node 0.2794 | edge 0.0303 | kl 0.1038 | beta 0.0200
Epoch 117 | loss 0.2605 | node 0.2249 | edge 0.0332 | kl 0.1177 | beta 0.0200
Epoch 118 | loss 0.3020 | node 0.2668 | edge 0.0328 | kl 0.1236 | beta 0.0200
Epoch 119 | loss 0.2615 | node 0.2316 | edge 0.0273 | kl 0.1270 | beta 0.0200
Epoch 120 | loss 0.2766 | node 0.2469 | edge 0.0271 | kl 0.1273 | beta 0.0200
Epoch 121 | loss 0.2595 | node 0.2259 | edge 0.0313 | kl 0.1138 | beta 0.0200
Epoch 122 | loss 0.2333 | node 0.2019 | edge 0.0296 | kl 0.0886 | beta 0.0200
Epoch 123 | loss 0.2659 | node 0.2369 | edge 0.0269 | kl 0.1025 | beta 0.0200
Epoch 124 | loss 0.2510 | node 0.2212 | edge 0.0279 | kl 0.0956 | beta 0.0200
Epoch 125 | loss 0.2732 | node 0.2425 | edge 0.0288 | kl 0.0894 | beta 0.0200
Epoch 126 | loss 0.3117 | node 0.2793 | edge 0.0299 | kl 0.1270 | beta 0.0200
Epoch 127 | loss 0.2533 | node 0.2217 | edge 0.0292 | kl 0.1209 | beta 0.0200
Epoch 128 | loss 0.2714 | node 0.2356 | edge 0.0334 | kl 0.1185 | beta 0.0200
Epoch 129 | loss 0.2957 | node 0.2657 | edge 0.0273 | kl 0.1317 | beta 0.0200
Epoch 130 | loss 0.2682 | node 0.2362 | edge 0.0292 | kl 0.1349 | beta 0.0200
Epoch 131 | loss 0.2943 | node 0.2318 | edge 0.0588 | kl 0.1848 | beta 0.0200
Epoch 132 | loss 0.2770 | node 0.2446 | edge 0.0297 | kl 0.1384 | beta 0.0200
Epoch 133 | loss 0.2601 | node 0.2274 | edge 0.0300 | kl 0.1345 | beta 0.0200
Epoch 134 | loss 0.2563 | node 0.2267 | edge 0.0269 | kl 0.1305 | beta 0.0200
Epoch 135 | loss 0.2515 | node 0.2233 | edge 0.0261 | kl 0.1044 | beta 0.0200
Epoch 136 | loss 0.3006 | node 0.2700 | edge 0.0281 | kl 0.1238 | beta 0.0200
Epoch 137 | loss 0.2865 | node 0.2549 | edge 0.0286 | kl 0.1493 | beta 0.0200
Epoch 138 | loss 0.2563 | node 0.2226 | edge 0.0312 | kl 0.1224 | beta 0.0200
Epoch 139 | loss 0.2718 | node 0.2437 | edge 0.0256 | kl 0.1271 | beta 0.0200
Epoch 140 | loss 0.2831 | node 0.2536 | edge 0.0269 | kl 0.1322 | beta 0.0200
Epoch 141 | loss 0.2887 | node 0.2529 | edge 0.0336 | kl 0.1102 | beta 0.0200
Epoch 142 | loss 0.2947 | node 0.2659 | edge 0.0268 | kl 0.1042 | beta 0.0200
Epoch 143 | loss 0.2406 | node 0.2134 | edge 0.0252 | kl 0.0983 | beta 0.0200
Epoch 144 | loss 0.2679 | node 0.2414 | edge 0.0246 | kl 0.0944 | beta 0.0200
Epoch 145 | loss 0.2428 | node 0.2166 | edge 0.0240 | kl 0.1152 | beta 0.0200
Epoch 146 | loss 0.2460 | node 0.2183 | edge 0.0258 | kl 0.0939 | beta 0.0200
Epoch 147 | loss 0.2237 | node 0.1956 | edge 0.0265 | kl 0.0798 | beta 0.0200
Epoch 148 | loss 0.2738 | node 0.2443 | edge 0.0277 | kl 0.0916 | beta 0.0200
Epoch 149 | loss 0.2500 | node 0.2243 | edge 0.0239 | kl 0.0919 | beta 0.0200
Epoch 150 | loss 0.2617 | node 0.2332 | edge 0.0267 | kl 0.0894 | beta 0.0200
Epoch 151 | loss 0.2552 | node 0.2248 | edge 0.0280 | kl 0.1229 | beta 0.0200
Epoch 152 | loss 0.2799 | node 0.2489 | edge 0.0285 | kl 0.1254 | beta 0.0200
Epoch 153 | loss 0.2572 | node 0.2283 | edge 0.0267 | kl 0.1095 | beta 0.0200
Epoch 154 | loss 0.2728 | node 0.2439 | edge 0.0267 | kl 0.1091 | beta 0.0200
Epoch 155 | loss 0.2387 | node 0.2132 | edge 0.0240 | kl 0.0785 | beta 0.0200
Epoch 156 | loss 0.3011 | node 0.2709 | edge 0.0285 | kl 0.0836 | beta 0.0200
Epoch 157 | loss 0.2922 | node 0.2627 | edge 0.0263 | kl 0.1612 | beta 0.0200
Epoch 158 | loss 0.2493 | node 0.2215 | edge 0.0253 | kl 0.1259 | beta 0.0200
Epoch 159 | loss 0.2676 | node 0.2408 | edge 0.0239 | kl 0.1422 | beta 0.0200
Epoch 160 | loss 0.2438 | node 0.2153 | edge 0.0263 | kl 0.1112 | beta 0.0200
Epoch 161 | loss 0.2096 | node 0.1858 | edge 0.0222 | kl 0.0781 | beta 0.0200
Epoch 162 | loss 0.2445 | node 0.2166 | edge 0.0262 | kl 0.0872 | beta 0.0200
Epoch 163 | loss 0.2542 | node 0.2233 | edge 0.0287 | kl 0.1119 | beta 0.0200
Epoch 164 | loss 0.2432 | node 0.2166 | edge 0.0244 | kl 0.1097 | beta 0.0200
Epoch 165 | loss 0.2511 | node 0.2268 | edge 0.0220 | kl 0.1170 | beta 0.0200
Epoch 166 | loss 0.2534 | node 0.2297 | edge 0.0221 | kl 0.0784 | beta 0.0200
Epoch 167 | loss 0.2581 | node 0.2343 | edge 0.0218 | kl 0.0978 | beta 0.0200
Epoch 168 | loss 0.3130 | node 0.2864 | edge 0.0245 | kl 0.1042 | beta 0.0200
