---------------- SN Dataset --------------------------------------------------
Epoch 135 | loss 0.1731 | node 0.1314 | edge 0.0134 | kl 0.0310 | beta 0.0500
Epoch 136 | loss 0.1773 | node 0.1350 | edge 0.0135 | kl 0.0341 | beta 0.0500
Epoch 137 | loss 0.1821 | node 0.1303 | edge 0.0167 | kl 0.0365 | beta 0.0500
Epoch 138 | loss 0.1753 | node 0.1308 | edge 0.0144 | kl 0.0276 | beta 0.0500
Epoch 139 | loss 0.1722 | node 0.1357 | edge 0.0117 | kl 0.0251 | beta 0.0500
Epoch 140 | loss 0.1792 | node 0.1321 | edge 0.0152 | kl 0.0284 | beta 0.0500
Epoch 141 | loss 0.1709 | node 0.1275 | edge 0.0140 | kl 0.0298 | beta 0.0500
Epoch 142 | loss 0.1824 | node 0.1341 | edge 0.0156 | kl 0.0311 | beta 0.0500
Epoch 143 | loss 0.1733 | node 0.1287 | edge 0.0143 | kl 0.0359 | beta 0.0500
Epoch 144 | loss 0.1758 | node 0.1312 | edge 0.0143 | kl 0.0314 | beta 0.0500
Epoch 145 | loss 0.1835 | node 0.1292 | edge 0.0175 | kl 0.0371 | beta 0.0500
Epoch 146 | loss 0.1874 | node 0.1290 | edge 0.0189 | kl 0.0344 | beta 0.0500
Epoch 147 | loss 0.1706 | node 0.1333 | edge 0.0120 | kl 0.0248 | beta 0.0500
Epoch 148 | loss 0.1696 | node 0.1285 | edge 0.0132 | kl 0.0281 | beta 0.0500
Epoch 149 | loss 0.1689 | node 0.1289 | edge 0.0129 | kl 0.0256 | beta 0.0500
Epoch 150 | loss 0.1770 | node 0.1324 | edge 0.0144 | kl 0.0284 | beta 0.0500
Epoch 151 | loss 0.1764 | node 0.1298 | edge 0.0150 | kl 0.0311 | beta 0.0500
Epoch 152 | loss 0.1788 | node 0.1379 | edge 0.0132 | kl 0.0278 | beta 0.0500
Epoch 153 | loss 0.1730 | node 0.1268 | edge 0.0149 | kl 0.0298 | beta 0.0500
Epoch 154 | loss 0.1757 | node 0.1294 | edge 0.0149 | kl 0.0316 | beta 0.0500
Epoch 155 | loss 0.1731 | node 0.1322 | edge 0.0131 | kl 0.0318 | beta 0.0500
Epoch 156 | loss 0.1672 | node 0.1288 | edge 0.0124 | kl 0.0260 | beta 0.0500
Epoch 157 | loss 0.1810 | node 0.1304 | edge 0.0163 | kl 0.0344 | beta 0.0500
Epoch 158 | loss 0.1700 | node 0.1262 | edge 0.0140 | kl 0.0355 | beta 0.0500
Epoch 159 | loss 0.1872 | node 0.1327 | edge 0.0176 | kl 0.0367 | beta 0.0500
Epoch 160 | loss 0.1698 | node 0.1283 | edge 0.0134 | kl 0.0277 | beta 0.0500
Epoch 161 | loss 0.1740 | node 0.1279 | edge 0.0148 | kl 0.0345 | beta 0.0500
Epoch 162 | loss 0.1596 | node 0.1241 | edge 0.0114 | kl 0.0247 | beta 0.0500
Epoch 163 | loss 0.1695 | node 0.1277 | edge 0.0134 | kl 0.0293 | beta 0.0500
Epoch 164 | loss 0.1714 | node 0.1281 | edge 0.0139 | kl 0.0297 | beta 0.0500
Epoch 165 | loss 0.1753 | node 0.1262 | edge 0.0158 | kl 0.0318 | beta 0.0500
Epoch 166 | loss 0.1662 | node 0.1279 | edge 0.0123 | kl 0.0280 | beta 0.0500
Epoch 167 | loss 0.1792 | node 0.1323 | edge 0.0152 | kl 0.0289 | beta 0.0500
Epoch 168 | loss 0.1674 | node 0.1268 | edge 0.0130 | kl 0.0319 | beta 0.0500
Epoch 169 | loss 0.1606 | node 0.1250 | edge 0.0114 | kl 0.0267 | beta 0.0500
Epoch 170 | loss 0.1689 | node 0.1281 | edge 0.0131 | kl 0.0291 | beta 0.0500
Epoch 171 | loss 0.1709 | node 0.1316 | edge 0.0127 | kl 0.0229 | beta 0.0500
Epoch 172 | loss 0.1724 | node 0.1305 | edge 0.0135 | kl 0.0259 | beta 0.0500
Epoch 173 | loss 0.1757 | node 0.1282 | edge 0.0154 | kl 0.0291 | beta 0.0500
Epoch 174 | loss 0.1580 | node 0.1240 | edge 0.0109 | kl 0.0239 | beta 0.0500
Epoch 175 | loss 0.1644 | node 0.1238 | edge 0.0131 | kl 0.0242 | beta 0.0500
Epoch 176 | loss 0.1704 | node 0.1254 | edge 0.0145 | kl 0.0304 | beta 0.0500
Epoch 177 | loss 0.1710 | node 0.1289 | edge 0.0135 | kl 0.0296 | beta 0.0500
Epoch 178 | loss 0.1709 | node 0.1228 | edge 0.0155 | kl 0.0308 | beta 0.0500
Epoch 179 | loss 0.1609 | node 0.1232 | edge 0.0121 | kl 0.0262 | beta 0.0500
Epoch 180 | loss 0.1586 | node 0.1237 | edge 0.0112 | kl 0.0237 | beta 0.0500
Epoch 181 | loss 0.1667 | node 0.1262 | edge 0.0130 | kl 0.0285 | beta 0.0500
Epoch 182 | loss 0.1818 | node 0.1297 | edge 0.0169 | kl 0.0315 | beta 0.0500
Epoch 183 | loss 0.1630 | node 0.1256 | edge 0.0120 | kl 0.0243 | beta 0.0500
Epoch 184 | loss 0.1662 | node 0.1274 | edge 0.0125 | kl 0.0265 | beta 0.0500
Epoch 185 | loss 0.1784 | node 0.1267 | edge 0.0166 | kl 0.0364 | beta 0.0500
Epoch 186 | loss 0.1592 | node 0.1231 | edge 0.0116 | kl 0.0244 | beta 0.0500
Epoch 187 | loss 0.1687 | node 0.1241 | edge 0.0144 | kl 0.0296 | beta 0.0500
Epoch 188 | loss 0.1660 | node 0.1205 | edge 0.0146 | kl 0.0298 | beta 0.0500
Epoch 189 | loss 0.1573 | node 0.1199 | edge 0.0121 | kl 0.0255 | beta 0.0500
Epoch 190 | loss 0.1515 | node 0.1202 | edge 0.0101 | kl 0.0223 | beta 0.0500
Epoch 191 | loss 0.1576 | node 0.1225 | edge 0.0113 | kl 0.0231 | beta 0.0500
Epoch 192 | loss 0.1697 | node 0.1253 | edge 0.0143 | kl 0.0279 | beta 0.0500
Epoch 193 | loss 0.1619 | node 0.1260 | edge 0.0115 | kl 0.0270 | beta 0.0500
Epoch 194 | loss 0.1642 | node 0.1223 | edge 0.0135 | kl 0.0264 | beta 0.0500
Epoch 195 | loss 0.1679 | node 0.1249 | edge 0.0138 | kl 0.0307 | beta 0.0500
Epoch 196 | loss 0.1560 | node 0.1244 | edge 0.0101 | kl 0.0259 | beta 0.0500
Epoch 197 | loss 0.1662 | node 0.1235 | edge 0.0137 | kl 0.0297 | beta 0.0500
Epoch 198 | loss 0.1545 | node 0.1180 | edge 0.0117 | kl 0.0284 | beta 0.0500
Epoch 199 | loss 0.1699 | node 0.1284 | edge 0.0134 | kl 0.0288 | beta 0.0500
Epoch 200 | loss 0.1731 | node 0.1269 | edge 0.0149 | kl 0.0308 | beta 0.0500
{'total_nodes': 11649, 'pod_acc': 1.0, 'op_acc': 0.9992274014936905, 'dur_mae': 1848391.4516913262, 'edge_precision': 0.9436414871375329, 'edge_recall': 0.9984610945465038, 'edge_f1': 0.9702775960370127}

=== Reconstruction Evaluation ===
Total nodes evaluated: 11649
Pod/Service accuracy: 100.00%
Op accuracy:  99.92%
Duration MAE: 1848391.4517
Edge precision: 94.36%
Edge recall:    99.85%
Edge F1:        97.03%

lr = 3e-4
beta_final = 0.05 
use_class_weights = False
op_loss_scale = 1.2-1.6

