=== TRAINING SN DATA ===
Epoch 095 | loss 0.1681 | node 0.1381 | edge 0.0291 | kl 0.0403 | beta 0.0200
Epoch 096 | loss 0.1558 | node 0.1291 | edge 0.0260 | kl 0.0340 | beta 0.0200
Epoch 097 | loss 0.1594 | node 0.1287 | edge 0.0299 | kl 0.0414 | beta 0.0200
Epoch 098 | loss 0.1550 | node 0.1281 | edge 0.0261 | kl 0.0363 | beta 0.0200
Epoch 099 | loss 0.1525 | node 0.1286 | edge 0.0232 | kl 0.0322 | beta 0.0200
Epoch 100 | loss 0.1542 | node 0.1284 | edge 0.0252 | kl 0.0322 | beta 0.0200
Epoch 101 | loss 0.1504 | node 0.1261 | edge 0.0237 | kl 0.0306 | beta 0.0200
Epoch 102 | loss 0.1531 | node 0.1270 | edge 0.0255 | kl 0.0311 | beta 0.0200
Epoch 103 | loss 0.1576 | node 0.1294 | edge 0.0275 | kl 0.0351 | beta 0.0200
Epoch 104 | loss 0.1479 | node 0.1243 | edge 0.0230 | kl 0.0324 | beta 0.0200
Epoch 105 | loss 0.1602 | node 0.1328 | edge 0.0266 | kl 0.0380 | beta 0.0200
Epoch 106 | loss 0.1538 | node 0.1278 | edge 0.0253 | kl 0.0375 | beta 0.0200
Epoch 107 | loss 0.1501 | node 0.1251 | edge 0.0244 | kl 0.0312 | beta 0.0200
Epoch 108 | loss 0.1530 | node 0.1275 | edge 0.0248 | kl 0.0343 | beta 0.0200
Epoch 109 | loss 0.1544 | node 0.1288 | edge 0.0249 | kl 0.0356 | beta 0.0200
Epoch 110 | loss 0.1521 | node 0.1262 | edge 0.0252 | kl 0.0340 | beta 0.0200
Epoch 111 | loss 0.1468 | node 0.1234 | edge 0.0227 | kl 0.0327 | beta 0.0200
Epoch 112 | loss 0.1456 | node 0.1213 | edge 0.0237 | kl 0.0307 | beta 0.0200
Epoch 113 | loss 0.1492 | node 0.1253 | edge 0.0233 | kl 0.0294 | beta 0.0200
Epoch 114 | loss 0.1480 | node 0.1258 | edge 0.0216 | kl 0.0299 | beta 0.0200
Epoch 115 | loss 0.1532 | node 0.1288 | edge 0.0237 | kl 0.0356 | beta 0.0200
Epoch 116 | loss 0.1541 | node 0.1281 | edge 0.0252 | kl 0.0374 | beta 0.0200
Epoch 117 | loss 0.1572 | node 0.1295 | edge 0.0269 | kl 0.0380 | beta 0.0200
Epoch 118 | loss 0.1482 | node 0.1262 | edge 0.0214 | kl 0.0301 | beta 0.0200
Epoch 119 | loss 0.1495 | node 0.1244 | edge 0.0244 | kl 0.0348 | beta 0.0200
Epoch 120 | loss 0.1532 | node 0.1266 | edge 0.0259 | kl 0.0368 | beta 0.0200
Epoch 121 | loss 0.1461 | node 0.1246 | edge 0.0209 | kl 0.0298 | beta 0.0200
Epoch 122 | loss 0.1475 | node 0.1253 | edge 0.0217 | kl 0.0289 | beta 0.0200
Epoch 123 | loss 0.1508 | node 0.1254 | edge 0.0247 | kl 0.0369 | beta 0.0200
Epoch 124 | loss 0.1466 | node 0.1233 | edge 0.0227 | kl 0.0321 | beta 0.0200
Epoch 125 | loss 0.1418 | node 0.1210 | edge 0.0203 | kl 0.0274 | beta 0.0200
Epoch 126 | loss 0.1533 | node 0.1281 | edge 0.0245 | kl 0.0337 | beta 0.0200
Epoch 127 | loss 0.1477 | node 0.1249 | edge 0.0221 | kl 0.0345 | beta 0.0200
Epoch 128 | loss 0.1428 | node 0.1196 | edge 0.0226 | kl 0.0319 | beta 0.0200
Epoch 129 | loss 0.1492 | node 0.1247 | edge 0.0239 | kl 0.0345 | beta 0.0200
Epoch 130 | loss 0.1482 | node 0.1261 | edge 0.0214 | kl 0.0342 | beta 0.0200
Epoch 131 | loss 0.1457 | node 0.1212 | edge 0.0239 | kl 0.0297 | beta 0.0200
Epoch 132 | loss 0.1454 | node 0.1241 | edge 0.0207 | kl 0.0293 | beta 0.0200
Epoch 133 | loss 0.1436 | node 0.1215 | edge 0.0215 | kl 0.0332 | beta 0.0200
Epoch 134 | loss 0.1499 | node 0.1226 | edge 0.0265 | kl 0.0374 | beta 0.0200
Epoch 135 | loss 0.1460 | node 0.1230 | edge 0.0223 | kl 0.0306 | beta 0.0200
Epoch 136 | loss 0.1440 | node 0.1225 | edge 0.0209 | kl 0.0330 | beta 0.0200
Epoch 137 | loss 0.1404 | node 0.1202 | edge 0.0196 | kl 0.0299 | beta 0.0200
Epoch 138 | loss 0.1677 | node 0.1424 | edge 0.0245 | kl 0.0403 | beta 0.0200
Epoch 139 | loss 0.1472 | node 0.1209 | edge 0.0256 | kl 0.0351 | beta 0.0200
Epoch 140 | loss 0.1437 | node 0.1218 | edge 0.0212 | kl 0.0338 | beta 0.0200
Epoch 141 | loss 0.1404 | node 0.1187 | edge 0.0211 | kl 0.0317 | beta 0.0200
Epoch 142 | loss 0.1441 | node 0.1214 | edge 0.0221 | kl 0.0288 | beta 0.0200
Epoch 143 | loss 0.1407 | node 0.1187 | edge 0.0214 | kl 0.0303 | beta 0.0200
Epoch 144 | loss 0.1489 | node 0.1257 | edge 0.0225 | kl 0.0333 | beta 0.0200
Epoch 145 | loss 0.1476 | node 0.1233 | edge 0.0236 | kl 0.0329 | beta 0.0200
Epoch 146 | loss 0.1453 | node 0.1219 | edge 0.0227 | kl 0.0355 | beta 0.0200
